; Candidate function boundaries for /home/andrew/netgearr8000/v2-staging/firmware/brcmfmac43602-pcie.ap.bin
; Detection: Thumb-2 'push {..,lr}' prologue -> nearest following
; 'pop {..,pc}' or 'bx lr' epilogue (approx=1 means no clean
; epilogue was found before the next prologue; end offset is the
; next prologue's start as a fallback boundary).
; Total candidates: 1879
; offset_start   offset_end  size_bytes  approx
0x01aae0  0x01ac8a       426  0
0x01ac9c  0x01aed4       568  0
0x01aee8  0x01b0a8       448  0
0x01b0b0  0x01b1ca       282  0
0x01b1d8  0x01b264       140  0
0x01b2f6  0x01b38c       150  0
0x01b390  0x01b3c0        48  0
0x01b44a  0x01b4c4       122  0
0x01b4fe  0x01b53a        60  0
0x01b562  0x01b598        54  0
0x01b5d8  0x01b628        80  0
0x01b646  0x01b67a        52  0
0x01b68c  0x01b6b0        36  0
0x01b6bc  0x01b6e0        36  0
0x01b6ea  0x01b706        28  0
0x01b710  0x01b744        52  0
0x01b748  0x01b780        56  0
0x01b780  0x01b7b2        50  0
0x01b7b2  0x01b7e4        50  0
0x01b7e4  0x01b7fe        26  0
0x01b7fe  0x01b858        90  0
0x01b858  0x01b8b6        94  0
0x01b91c  0x01b95c        64  0
0x01b960  0x01b970        16  0
0x01b970  0x01b994        36  0
0x01b996  0x01ba50       186  0
0x01ba54  0x01ba6e        26  0
0x01bada  0x01bb40       102  1
0x01bb40  0x01bb5a        26  0
0x01bb5c  0x01bbc6       106  0
0x01bbcc  0x01bbf0        36  0
0x01bc04  0x01bc22        30  0
0x01bc22  0x01bc60        62  0
0x01bc60  0x01bcf6       150  0
0x01bd0a  0x01be76       364  0
0x01be82  0x01bea2        32  0
0x01beae  0x01bed8        42  0
0x01bee0  0x01c308      1064  0
0x01c310  0x01c39c       140  1
0x01c39c  0x01c4ba       286  0
0x01c4ba  0x01c528       110  0
0x01c534  0x01c584        80  0
0x01c598  0x01c5c0        40  0
0x01c6a4  0x01c8ce       554  0
0x01c8d4  0x01c914        64  0
0x01c914  0x01c95e        74  0
0x01c95e  0x01c99a        60  1
0x01c99a  0x01ca40       166  0
0x01ca40  0x01cb70       304  0
0x01cb74  0x01cbc4        80  0
0x01cbe8  0x01cbf8        16  1
0x01cbf8  0x01d682      2698  0
0x01d684  0x01d746       194  0
0x01d792  0x01d7b8        38  1
0x01d7b8  0x01da6a       690  0
0x01da96  0x01db18       130  0
0x01db18  0x01deb6       926  0
0x01dee0  0x01df1e        62  0
0x01df1e  0x01df6c        78  0
0x01dfec  0x01e04e        98  0
0x01e050  0x01e0ea       154  0
0x01e104  0x01e1c0       188  0
0x01e1c8  0x01e222        90  0
0x01e224  0x01e256        50  0
0x01e25e  0x01e29c        62  0
0x01e29c  0x01e2c6        42  0
0x01e2ca  0x01e350       134  0
0x01e4a4  0x01e4d6        50  0
0x01e4d8  0x01e4fa        34  0
0x01e4fa  0x01e540        70  0
0x01e542  0x01e564        34  0
0x01e594  0x01e63e       170  0
0x01e63e  0x01e666        40  0
0x01e6c4  0x01e6dc        24  0
0x01e6dc  0x01e720        68  0
0x01e720  0x01e752        50  0
0x01e752  0x01e7fa       168  0
0x01e7fa  0x01e816        28  0
0x01e838  0x01e866        46  0
0x01e868  0x01ea94       556  0
0x01ea98  0x01edf6       862  0
0x01edf8  0x01ee0e        22  0
0x01ee46  0x01ee88        66  0
0x01eea2  0x01eed0        46  0
0x01eed0  0x01ef04        52  0
0x01ef06  0x01effc       246  0
0x01effc  0x01f028        44  1
0x01f028  0x01f042        26  1
0x01f042  0x01f08a        72  0
0x01f08a  0x01f0ac        34  1
0x01f0ac  0x01f1c4       280  0
0x01f1cc  0x01f250       132  0
0x01f250  0x01f316       198  0
0x01f316  0x01f346        48  0
0x01f346  0x01f3a8        98  0
0x01f3a8  0x01f3d4        44  0
0x01f3d4  0x01f416        66  0
0x01f416  0x01f492       124  0
0x01f498  0x01f4d6        62  0
0x01f4dc  0x01f512        54  0
0x01f526  0x01f55e        56  0
0x01f564  0x01f57c        24  0
0x01f57c  0x01f6da       350  0
0x01f6e8  0x01f794       172  0
0x01f798  0x01f84c       180  0
0x01f854  0x01f8ae        90  0
0x01f8b8  0x01f976       190  0
0x01f978  0x01f99c        36  0
0x01fa76  0x01fa8c        22  0
0x01facc  0x01fae8        28  0
0x01fae8  0x01fb1e        54  0
0x01fb1e  0x01fb3c        30  0
0x01fb3e  0x01fb4e        16  0
0x01fb5e  0x01fb82        36  0
0x01fbb4  0x01fbde        42  0
0x01fbde  0x01fdc0       482  0
0x01fdc0  0x01fe48       136  0
0x01fe48  0x01fe60        24  0
0x01fe8a  0x01fe9a        16  0
0x01feb4  0x01fee0        44  0
0x01fee0  0x01ff5e       126  0
0x01ff62  0x01ffa2        64  0
0x01ffb4  0x020002        78  0
0x020002  0x020028        38  1
0x020028  0x020180       344  0
0x020180  0x0201c8        72  0
0x0201c8  0x02025c       148  0
0x02025e  0x0203d2       372  0
0x020404  0x020430        44  0
0x020430  0x020446        22  0
0x02044a  0x0204ac        98  0
0x0204bc  0x02055e       162  0
0x020562  0x020572        16  0
0x020574  0x020796       546  0
0x02079e  0x0207c0        34  0
0x0207c0  0x020946       390  0
0x020948  0x020a88       320  0
0x020a90  0x020d18       648  0
0x020d20  0x020d56        54  0
0x020d56  0x020d68        18  0
0x020d8c  0x020dc0        52  0
